Player_Name,Team_From,Team_To,Trade_Date
Jaden Springer,Boston Celtics,Houston Rockets,2/6/2025
Reggie Jackson,Philadelphia 76ers,Washington Wizards,2/6/2025
KJ Martin,Philadelphia 76ers,Detroit Pistons,2/6/2025
Jimmy Butler III,Miami Heat,Golden State Warriors,2/6/2025
Andrew Wiggins,Golden State Warriors,Miami Heat,2/6/2025
Kyle Anderson,Golden State Warriors,Miami Heat,2/6/2025
Davion Mitchell,Toronto Raptors,Miami Heat,2/6/2025
P.J. Tucker,Utah Jazz,Toronto Raptors,2/6/2025
Josh Richardson,Miami Heat,Utah Jazz,2/6/2025
KJ Martin,Detroit Pistons,Utah Jazz,2/6/2025
Lindy Waters III,Golden State Warriors,Detroit Pistons,2/6/2025
Dennis Schroder,Golden State Warriors,Detroit Pistons,2/6/2025
Jake LaRavia,Memphis Grizzlies,Sacramento Kings,2/6/2025
Johnny Davis,Washington Wizards,Memphis Grizzlies,2/6/2025
Marvin Bagley III,Washington Wizards,Memphis Grizzlies,2/6/2025
Colby Jones,Sacramento Kings,Washington Wizards,2/6/2025
Alex Len,Sacramento Kings,Washington Wizards,2/6/2025
Marcus Smart,Memphis Grizzlies,Washington Wizards,2/6/2025
Bruce Brown,Toronto Raptors,New Orleans Pelicans,2/6/2025
Kelly Olynyk,Toronto Raptors,New Orleans Pelicans,2/6/2025
Brandon Ingram,New Orleans Pelicans,Toronto Raptors,2/6/2025
James Wiseman,Indiana Pacers,Toronto Raptors,2/6/2025
Cody Martin,Charlotte Hornets,Phoenix Suns,2/6/2025
Vasilije Micic,Charlotte Hornets,Phoenix Suns,2/6/2025
Jusuf Nurkic,Phoenix Suns,Charlotte Hornets,2/6/2025
Jericho Sims,New York Knicks,Milwaukee Bucks,2/6/2025
Kyle Kuzma,Washington Wizards,Milwaukee Bucks,2/6/2025
Delon Wright,Milwaukee Bucks,New York Knicks,2/6/2025
Patrick Baldwin Jr.,Washington Wizards,San Antonio Spurs,2/6/2025
AJ Johnson,Milwaukee Bucks,Washington Wizards,2/6/2025
Khris Middleton,Milwaukee Bucks,Washington Wizards,2/6/2025
Cody Zeller,Atlanta Hawks,Houston Rockets,2/6/2025
Mark Williams,Charlotte Hornets,Los Angeles Lakers,2/6/2025
Dalton Knecht,Los Angeles Lakers,Charlotte Hornets,2/6/2025
Cam Reddish,Los Angeles Lakers,Charlotte Hornets,2/6/2025
Georges Niang,Cleveland Cavaliers,Atlanta Hawks,2/6/2025
Caris LeVert,Cleveland Cavaliers,Atlanta Hawks,2/6/2025
De'Andre Hunter,Atlanta Hawks,Cleveland Cavaliers,2/6/2025
Bones Hyland,LA Clippers,Atlanta Hawks,2/6/2025
Terance Mann,LA Clippers,Atlanta Hawks,2/6/2025
Bogdan Bogdanovic,Atlanta Hawks,LA Clippers,2/6/2025
MarJon Beauchamp,Milwaukee Bucks,LA Clippers,2/6/2025
Kevin Porter Jr.,LA Clippers,Milwaukee Bucks,2/6/2025
Daniel Theis,New Orleans Pelicans,Oklahoma City Thunder,2/5/2025
Jonas Valanciunas,Washington Wizards,Sacramento Kings,2/5/2025
Sidy Cissoko,Sacramento Kings,Washington Wizards,2/5/2025
Caleb Martin,Philadelphia 76ers,Dallas Mavericks,2/4/2025
Quentin Grimes,Dallas Mavericks,Philadelphia 76ers,2/4/2025
Kevin Huerter,Sacramento Kings,Chicago Bulls,2/3/2025
Tre Jones,San Antonio Spurs,Chicago Bulls,2/3/2025
Zach Collins,San Antonio Spurs,Chicago Bulls,2/3/2025
Zach LaVine,Chicago Bulls,Sacramento Kings,2/3/2025
Sidy Cissoko,San Antonio Spurs,Sacramento Kings,2/3/2025
Jordan McLaughlin,Sacramento Kings,San Antonio Spurs,2/3/2025
De'Aaron Fox,Sacramento Kings,San Antonio Spurs,2/3/2025
Max Christie,Los Angeles Lakers,Dallas Mavericks,2/2/2025
Anthony Davis,Los Angeles Lakers,Dallas Mavericks,2/2/2025
Luka Doncic,Dallas Mavericks,Los Angeles Lakers,2/2/2025
Maxi Kleber,Dallas Mavericks,Los Angeles Lakers,2/2/2025
Markieff Morris,Dallas Mavericks,Los Angeles Lakers,2/2/2025
Jalen Hood-Schifino,Los Angeles Lakers,Utah Jazz,2/2/2025
Drew Eubanks,Utah Jazz,LA Clippers,2/1/2025
Patty Mills,Utah Jazz,LA Clippers,2/1/2025
Mo Bamba,LA Clippers,Utah Jazz,2/1/2025
P.J. Tucker,LA Clippers,Utah Jazz,2/1/2025
Nick Richards,Charlotte Hornets,Phoenix Suns,1/15/2025
Josh Okogie,Phoenix Suns,Charlotte Hornets,1/15/2025
Shake Milton,Brooklyn Nets,Los Angeles Lakers,12/29/2024
Dorian Finney-Smith,Brooklyn Nets,Los Angeles Lakers,12/29/2024
Maxwell Lewis,Los Angeles Lakers,Brooklyn Nets,12/29/2024
D'Angelo Russell,Los Angeles Lakers,Brooklyn Nets,12/29/2024
Thomas Bryant,Miami Heat,Indiana Pacers,12/15/2024
Dennis Schroder,Brooklyn Nets,Golden State Warriors,12/15/2024
De'Anthony Melton,Golden State Warriors,Brooklyn Nets,12/15/2024
Jalen McDaniels,Sacramento Kings,San Antonio Spurs,10/15/2024